coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_chronically_homeless,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,poverty,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,public_welfare_expenditures_per_capita,total_expenditures_per_capita,zori_rent_value,year
CA-514,Fresno City & County/Madera County CoC,3641.0,960.0,2681.0,645.0,508574,449638,58936,1158679,18733,17784.0,949.0,189364,47955.41410692694,187554.86882443688,278268.08177624375,61.17000000000001,3465.8154,13698.886,1188.2337931779284,2020
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",744.0,339.0,405.0,276.0,234232,216454,17778,502556,2246,1989.0,257.0,34855,70811.73422663345,389328.6040168458,522962.2302453811,61.17,3465.8154,13698.886,1684.666218683885,2020
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1529.0,506.0,1023.0,430.0,82833,75597,7236,209043,3051,2761.0,290.0,28125,50046.70504633018,182042.0700437002,271501.2376701561,61.17,3465.8154,13698.886,996.9998404802617,2020
CA-517,Napa City & County CoC,464.0,161.0,303.0,202.0,69024,62851,6173,135965,1877,1501.0,376.0,10356,82408.0,505722.38768433133,707005.5024015299,61.17,3465.8154,13698.886,2469.942905710474,2020
CA-518,Vallejo/Solano County CoC,1162.0,230.0,932.0,232.0,202218,182483,19735,446935,6882,5712.0,1170.0,40283,58688.0,376560.4626279899,472755.13457959285,61.17,3465.8154,13698.886,1955.6693775476988,2020
CA-519,"Chico, Paradise/Butte County CoC",1274.0,436.0,838.0,278.0,93416,84666,8750,212744,3101,2728.0,373.0,35963,50279.0,206456.2735153035,328993.9172229618,61.17,3465.8154,13698.886,1396.8405290945122,2020
CA-520,Merced City & County CoC,636.0,323.0,313.0,194.0,115723,101215,14508,279252,3593,3233.0,360.0,44302,43914.0,221129.721554708,293666.03540558595,61.17,3465.8154,13698.886,1438.9889067965032,2020
CA-521,"Davis, Woodland/Yolo County CoC",641.0,244.0,397.0,175.0,105028,96867,8161,219728,3001,2550.0,451.0,31066,58391.0,344052.64070306957,471627.43577075074,61.17,3465.8154,13698.886,1995.4507498925632,2020
CA-522,Humboldt County CoC,1701.0,299.0,1402.0,523.0,59871,54757,5114,134977,2010,1547.0,463.0,20847,50182.0,222693.94203187723,337885.22385871224,61.17,3465.8154,13698.886,0.0,2020
CA-524,Yuba City & County/Sutter County CoC,721.0,202.0,519.0,231.0,76374,67914,8460,176545,1987,1829.0,158.0,23800,48751.710498739696,232253.3681077153,321451.0732928401,61.17,3465.8154,13698.885999999999,0.0,2020
CA-525,El Dorado County CoC,663.0,183.0,480.0,107.0,91063,83355,7708,192925,849,755.0,94.0,15992,72662.0,344331.9992033542,511110.2896142315,61.17,3465.8154,13698.886,1890.7645635630172,2020
CA-527,Tehama County CoC,300.0,85.0,215.0,124.0,25724,23386,2338,64494,667,640.0,27.0,8467,46007.0,136479.4505143159,247396.1500620769,61.17,3465.8154,13698.886,0.0,2020
CA-529,Lake County CoC,357.0,21.0,336.0,54.0,28513,25729,2784,64479,477,429.0,48.0,10131,47144.0,149776.28361707216,255322.11023194564,61.17,3465.8154,13698.886,0.0,2020
CA-601,San Diego City and County CoC,7638.0,3667.0,3971.0,1519.0,1547325,1401923,145402,3332427,40963,38095.0,2868.0,306807,66266.0,439950.95275737514,625014.9180362183,61.17,3465.8154,13698.886,2250.149785897573,2020
CA-602,"Santa Ana, Anaheim/Orange County CoC",6978.0,3017.0,3961.0,2810.0,1566866,1426971,139895,3166857,27823,24484.0,3339.0,280128,74618.0,526736.441459597,750487.0509254524,61.17,3465.8154,13698.886,2360.8288803031987,2020
CA-603,Santa Maria/Santa Barbara County CoC,1897.0,674.0,1223.0,620.0,218934,201111,17823,444766,7812,7265.0,547.0,44777,67879.0,385371.0656949051,606360.6557726318,61.17000000000001,3465.8154,13698.886000000002,2547.220661207307,2020
CA-604,Bakersfield/Kern County CoC,1580.0,576.0,1004.0,4.0,387111,337439,49672,901362,5852,5500.0,352.0,159609,44721.0,162584.9068260529,239860.42703862814,61.17,3465.8154,13698.886,1307.3916230631773,2020
CA-608,Riverside City & County CoC,2884.0,729.0,2155.0,1007.0,1121076,1008036,113040,2489188,13518,12031.0,1487.0,275176,45834.0,297537.2036452347,414878.79405586916,61.17,3465.8154000000004,13698.886,1890.9804120823358,2020
CA-609,San Bernardino City & County CoC,3125.0,735.0,2390.0,760.0,974715,880887,93828,2189183,15539,13985.0,1554.0,308021,44831.0,251943.88830651084,380747.2580157668,61.17,3465.8154,13698.886,1875.4525152956867,2020
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",1787.0,522.0,1265.0,429.0,410872,374964,35908,841387,8960,8064.0,896.0,75060,67422.0,468484.43993074744,634908.3745171828,61.17,3465.8153999999995,13698.886,2385.2098318701555,2020
CA-613,Imperial County CoC,1527.0,193.0,1334.0,750.0,71686,55464,16222,180267,3148,3022.0,126.0,31134,44500.0,153743.80165684174,239488.12278101392,61.17,3465.8154,13698.886000000002,0.0,2020
CA-614,San Luis Obispo County CoC,1423.0,251.0,1172.0,331.0,134417,123926,10491,282249,2785,2729.0,56.0,28338,62342.0,438302.15369162086,635139.7451428097,61.17000000000001,3465.8154,13698.886,2327.421103567577,2020
CO-500,Colorado Balance of State CoC,1638.0,840.0,798.0,579.0,485689,452133,33556,909378,10027,8656.0,1371.0,91741,58028.517707707906,260410.20385273875,393573.1393424459,46.26,1863.8112,10524.972,1077.6267953446666,2020
CO-503,Metropolitan Denver CoC,6104.0,4543.0,1561.0,1867.0,556436,519608,36828,1018202,5282,4529.0,753.0,56702,71045.00514829082,367761.54453636,485370.2379535576,46.26,1863.8111999999999,10524.972,1645.8999152567246,2020
CO-504,Colorado Springs/El Paso County CoC,1339.0,981.0,358.0,284.0,342131,319056,23075,728310,5014,4412.0,602.0,64656,54151.0,265298.3617158363,353883.1963117107,46.260000000000005,1863.8112,10524.972,1449.5744784567514,2020
CT-505,Connecticut Balance of State CoC,2208.0,1940.0,268.0,133.0,1414373,1302248,112125,2614580,64114,58191.0,5923.0,252126,63601.462399314616,158071.38293390026,243571.41139773314,48.60000000000001,1092.9727,10201.384,1288.1696984069183,2020
DE-500,Delaware Statewide CoC,1165.0,1015.0,150.0,267.0,486497,449965,36532,986809,13082,11901.0,1181.0,104400,56097.684987672386,158858.7405240987,260446.1965542934,54.48,2838.6246,11732.283,984.6430814622839,2020
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1044.0,681.0,363.0,188.0,360165,334373,25792,854684,4879,4239.0,640.0,82461,61988.28170996532,184529.65233472525,289999.35466828116,71.8,1420.6614000000002,8342.0209,1647.3416148139497,2020
FL-501,Tampa/Hillsborough County CoC,1452.0,840.0,612.0,266.0,754964,698029,56935,1497957,15221,14459.0,762.0,175650,51848.0,170659.87982768504,254289.63289283038,71.8,1420.6614,8342.0209,1517.4176369510703,2020
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2226.0,1418.0,808.0,592.0,477291,441651,35640,976802,12866,11836.0,1030.0,106309,59178.0,142940.85944983305,245520.7506504466,71.8,1420.6614,8342.0209,1390.445408180624,2020
FL-503,"Lakeland, Winterhaven/Polk County CoC",612.0,422.0,190.0,78.0,319951,289442,30509,744552,4487,3903.0,584.0,104836,39760.0,132778.57321814584,206750.2009280887,71.8,1420.6614,8342.0209,1364.0235554806331,2020
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",904.0,451.0,453.0,76.0,296144,272463,23681,679948,5916,4988.0,928.0,74380,47193.42541488467,161651.30802278683,233704.35535595918,71.8,1420.6614,8342.020900000001,1359.87080034982,2020
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",351.0,96.0,255.0,183.0,127805,120333,7472,289468,2308,2032.0,276.0,28283,58663.26908673843,174203.2062080539,292835.9133929972,71.8,1420.6614000000002,8342.0209,1394.2299414794059,2020
FL-506,Tallahassee/Leon County CoC,805.0,696.0,109.0,192.0,150928,141624,9304,295460,4206,3827.0,379.0,49598,48850.0,108134.29162704076,198209.958031241,71.8,1420.6614,8342.0209,1056.0692794653305,2020
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2007.0,1548.0,459.0,489.0,1170190,1042289,127901,2263882,10482,9764.0,718.0,256855,48497.8782034576,180934.00555989952,272851.8123863873,71.8,1420.6614,8342.0209,1483.792792644524,2020
FL-508,"Gainesville/Alachua, Putnam Counties CoC",880.0,279.0,601.0,225.0,134721,127085,7636,271218,4817,3901.0,916.0,44315,49556.0,122886.15379491886,207624.30150817058,71.8,1420.6614,8342.0209,1256.1525422160694,2020
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1379.0,188.0,1191.0,45.0,135695,126138,9557,324606,830,799.0,31.0,31586,86892.96780096486,158937.61140500364,276348.27592981694,71.8,1420.6614,8342.0209,1547.8137803194054,2020
FL-510,"Jacksonville-Duval, Clay Counties CoC",1366.0,915.0,451.0,71.0,627423,584413,43010,1279611,17740,16999.0,741.0,170268,51455.02973638082,131260.35025348878,215812.47515748415,71.8,1420.6614,8342.0209,1299.4373270202032,2020
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",746.0,372.0,374.0,184.0,226840,212065,14775,511503,5278,4810.0,468.0,58199,48154.19125987531,115898.72439686803,199725.00772648604,71.8,1420.6614,8342.0209,1257.3055602353807,2020
FL-513,"Palm Bay, Melbourne/Brevard County CoC",940.0,366.0,574.0,245.0,281902,262203,19699,608459,5519,5022.0,497.0,59282,51507.0,156949.83820538645,241697.5828800342,71.8,1420.6614,8342.0209,1424.3334666924718,2020
FL-514,Ocala/Marion County CoC,523.0,373.0,150.0,130.0,139119,128785,10334,373513,2457,2285.0,172.0,55608,41553.0,113147.24520523421,174765.98185091966,71.8,1420.6614,8342.0209,1178.625466895474,2020
FL-515,"Panama City/Bay, Jackson Counties CoC",385.0,136.0,249.0,43.0,99966,93782,6184,217407,3003,2258.0,745.0,28457,48155.25931547742,115763.92145409722,202247.95056235231,71.8,1420.6614,8342.020899999998,1118.1005894037012,2020
FL-517,"Hendry, Hardee, Highlands Counties CoC",403.0,48.0,355.0,98.0,34656,31832,2824,106639,361,332.0,29.0,16905,37158.0,90380.5549473788,150695.9163730346,71.8,1420.6614,8342.0209,939.8155311785774,2020
FL-519,Pasco County CoC,898.0,210.0,688.0,265.0,241029,222948,18081,570412,2353,2070.0,283.0,64340,45461.0,131427.98250717134,222327.47798479555,71.8,1420.6614,8342.0209,1423.4365884075958,2020
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",703.0,279.0,424.0,58.0,308252,280918,27334,866312,1722,1559.0,163.0,93914,45836.00116355308,158122.08005711465,230962.3653096517,71.8,1420.6614,8342.0209,1128.2773025551658,2020
FL-600,Miami-Dade County CoC,3560.0,2540.0,1020.0,524.0,1280601,1175315,105286,2707303,49500,45540.0,3960.0,399797,57213.0,192950.24009892927,317480.61111757264,71.8,1420.6614,8342.0209,1988.4807467363337,2020
FL-601,Ft Lauderdale/Broward County CoC,2211.0,1227.0,984.0,654.0,1021788,926316,95472,1958105,16321,14852.0,1469.0,214119,55908.0,148986.91421325,280996.1753459921,71.8,1420.6614,8342.0209,1759.0678917795738,2020
FL-602,Punta Gorda/Charlotte County CoC,169.0,93.0,76.0,23.0,71472,65990,5482,194711,818,809.0,9.0,18781,45606.0,143644.48972326663,224604.68964951357,71.8,1420.6613999999997,8342.0209,1593.4098131760916,2020
FL-603,"Ft Myers, Cape Coral/Lee County CoC",444.0,233.0,211.0,93.0,345536,318852,26684,790767,4858,4372.0,486.0,81863,54707.0,128718.27419357128,241085.74751691634,71.8,1420.6614,8342.0209,1451.3683155042304,2020
FL-604,Monroe County CoC,421.0,243.0,178.0,31.0,44503,40864,3639,73900,1385,1357.0,28.0,7404,106583.0,375367.43252169335,582804.5770742337,71.8,1420.6614,8342.0209,2924.2957651269703,2020
FL-605,West Palm Beach/Palm Beach County CoC,1510.0,480.0,1030.0,241.0,716221,658815,57406,1507600,11083,10085.0,998.0,178480,87478.0,159649.0151776531,302760.55091703834,71.8,1420.6614,8342.0209,1793.2074942703623,2020
FL-606,Naples/Collier County CoC,603.0,435.0,168.0,80.0,176561,163700,12861,392973,935,897.0,38.0,39254,103865.0,211207.5444513217,361644.16782030463,71.8,1420.6614000000002,8342.0209,2113.956597657841,2020
GA-501,Georgia Balance of State CoC,4349.0,2087.0,2262.0,256.0,2271982,2138409,133573,4722693,38856,32973.0,5883.0,539310,47474.60831140199,153047.48307351198,225656.6521809632,62.3,1285.4906,7564.589399999999,1108.358494627293,2020
GA-503,Athens-Clarke County CoC,210.0,143.0,67.0,51.0,58181,54472,3709,127795,2438,2218.0,220.0,28845,37588.0,102945.88112859335,191991.70175653967,62.3,1285.4906,7564.5894,1300.8180776278853,2020
GA-504,Augusta-Richmond County CoC,470.0,188.0,282.0,95.0,84317,77914,6403,202079,7405,6812.0,593.0,48382,41999.0,56496.35514403977,117447.62668099678,62.3,1285.4906,7564.589399999999,973.8975314465264,2020
GA-505,Columbus-Muscogee/Russell County CoC,249.0,208.0,41.0,29.0,101292,93936,7356,254679,7182,6265.0,917.0,51731,45437.96709583436,46407.816301730665,117009.30446950202,62.38689393314721,1346.782516287562,7855.6693498081895,698.2400727946392,2020
GA-506,Marietta/Cobb County CoC,424.0,297.0,127.0,61.0,413432,389213,24219,762944,3420,3283.0,137.0,69097,63214.0,188685.78908428864,280776.23115814687,62.3,1285.4906,7564.5894,1435.3813216409992,2020
GA-507,Savannah/Chatham County CoC,672.0,452.0,220.0,294.0,140138,129534,10604,289463,5761,5645.0,116.0,43011,51805.0,108327.91595743415,192785.79987316058,62.3,1285.4906,7564.5894,1268.761134047981,2020
HI-500,Hawaii Balance of State CoC,2010.0,706.0,1304.0,709.0,91884,81388,10496,203340,3261,3130.0,131.0,24301,46281.0,211553.5427083011,370431.3519493407,72.95,2115.1345,11061.295,0.0,2020
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",305.0,288.0,17.0,34.0,54622,51803,2819,103138,2198,1934.0,264.0,11311,47731.0,75829.28316905745,135810.95960120737,48.14,2275.075,11065.408,0.0,2020
IA-501,Iowa Balance of State CoC,1696.0,1510.0,186.0,220.0,532403,503128,29275,997113,12729,11240.0,1489.0,101049,54087.5651184971,105488.83151977207,177110.72086024162,48.14,2275.075,11065.408,777.8426930565312,2020
IA-502,Des Moines/Polk County CoC,646.0,516.0,130.0,114.0,264856,249212,15644,494281,5917,5147.0,770.0,55560,57080.0,124187.22639044611,200436.9258378411,48.14,2275.075,11065.408,1028.0751148622967,2020
ID-500,Boise/Ada County CoC,647.0,564.0,83.0,129.0,260850,246434,14416,494399,3282,3019.0,263.0,37356,57215.0,307115.1140058806,392617.4902535745,46.32,1771.245,7995.4686,1418.2515728778644,2020
ID-501,Idaho Balance of State CoC,1668.0,708.0,960.0,235.0,387102,365839,21263,815617,6382,5541.0,841.0,85859,43762.214937893645,213260.02712563967,289385.94238731504,46.32,1771.245,7995.468600000001,720.3790319872585,2020
IL-501,"Rockford/Winnebago, Boone Counties CoC",465.0,420.0,45.0,37.0,161616,143062,18554,334072,7017,6138.0,879.0,43864,47982.52610814435,69187.52697541792,125379.402677905,51.36999999999999,2186.9143,10209.734000000002,685.0048754303697,2020
IL-502,"Waukegan, North Chicago/Lake County CoC",292.0,258.0,34.0,24.0,365945,336112,29833,693593,8814,8020.0,794.0,46919,85159.0,146102.63527787387,241701.15780250958,51.37,2186.9143,10209.734,1540.8926462906754,2020
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",140.0,128.0,12.0,25.0,107408,100294,7114,209192,2931,2491.0,440.0,29150,49187.0,84623.35969436282,145512.78310213104,51.37,2186.9143,10209.734,830.3319535344186,2020
IL-504,Madison County CoC,79.0,47.0,32.0,16.0,131563,121231,10332,262635,3361,2957.0,404.0,28469,51433.0,55613.55191578765,121669.1419285824,51.37,2186.9143,10209.734,790.118954098541,2020
IL-506,"Joliet, Bolingbrook/Will County CoC",276.0,234.0,42.0,24.0,94696,86958,7738,181631,712,643.0,69.0,8087,56205.822188943515,158642.36891017377,228581.97668080137,51.36999999999999,2186.9143,10209.734,1058.4612914970041,2020
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",311.0,274.0,37.0,59.0,83878,75110,8768,177652,5642,4964.0,678.0,24583,54609.0,37964.12215067765,94388.27325321951,51.370000000000005,2186.9143,10209.734,892.4043669043316,2020
IL-512,Bloomington/Central Illinois CoC,408.0,356.0,52.0,71.0,171460,157740,13720,354705,6219,5141.0,1078.0,44569,50163.90851834623,69526.64850778758,127610.80964500655,51.36999999999999,2186.9143,10209.734,678.5578502475312,2020
IL-513,Springfield/Sangamon County CoC,294.0,251.0,43.0,73.0,97057,88967,8090,193882,4108,3861.0,247.0,24310,52891.0,59777.61671507809,128050.27271715726,51.37,2186.9143,10209.734,845.7704215595005,2020
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",135.0,117.0,18.0,16.0,68828,62261,6567,140907,4587,4082.0,505.0,18365,48492.0,65364.982381828166,109125.22796162446,51.37,2186.9143,10209.734,0.0,2020
IL-519,West Central Illinois CoC,113.0,110.0,3.0,3.0,31302,29301,2001,64783,1227,993.0,234.0,6735,51779.0,60546.64749656346,120107.69368410933,51.37,2186.9143,10209.734,0.0,2020
IL-520,Southern Illinois CoC,233.0,187.0,46.0,22.0,58793,53891,4902,123090,3408,2865.0,543.0,18068,44790.49354131123,35217.674346426655,83547.60714890997,51.37,2186.9143,10209.734,0.0,2020
IN-502,Indiana Balance of State CoC,4037.0,3257.0,780.0,271.0,1741047,1614682,126365,3505402,46524,61032.0,-14508.0,384551,53078.41673993454,113696.66647858103,185669.61628756582,51.81,2477.0877,9255.7888,851.6443064735407,2020
IN-503,Indianapolis CoC,1588.0,1402.0,186.0,132.0,496408,456101,40307,966183,16647,15148.0,1499.0,135820,59264.0,84111.48149241637,153702.30045878584,51.81,2477.0877,9255.7888,1023.3108639945768,2020
KS-502,Wichita/Sedgwick County CoC,619.0,558.0,61.0,48.0,259283,236571,22712,519907,5445,4628.0,817.0,68637,56550.0,76385.83283644558,149947.53039980395,54.68,1751.1707,9991.5303,849.3206009136189,2020
KS-503,Topeka/Shawnee County CoC,467.0,375.0,92.0,163.0,91649,86325,5324,175999,3198,2654.0,544.0,18039,51216.0,66053.74818228859,135886.5886710204,54.68,1751.1707,9991.5303,786.6322527306397,2020
KS-505,"Overland Park, Shawnee/Johnson County CoC",180.0,156.0,24.0,19.0,343574,326260,17314,607220,3464,3360.0,104.0,27345,80681.0,218630.75466536693,309700.10633296374,54.68,1751.1707,9991.5303,1247.3668429133368,2020
KS-507,Kansas Balance of State CoC,943.0,720.0,223.0,109.0,295055,278553,16502,604167,7471,6320.0,1151.0,64903,47787.25428234247,98440.17748776094,162441.50667502006,54.68000000000001,1751.1707,9991.5303,657.2953861245269,2020
KY-500,Kentucky Balance of State CoC,2220.0,1464.0,756.0,308.0,623949,586924,37025,1298024,18993,16747.0,2246.0,146161,49848.1163876785,110294.4234885005,183908.51490273583,55.62,2942.1999,9375.8488,641.410332422681,2020
KY-501,Louisville-Jefferson County CoC,1102.0,961.0,141.0,269.0,389491,363423,26068,767452,21548,18746.0,2802.0,85737,57863.0,101945.18784149963,182882.11632229426,55.61999999999999,2942.1999,9375.8488,1025.850276886219,2020
KY-502,Lexington-Fayette County CoC,689.0,658.0,31.0,89.0,171805,162169,9636,324735,6415,6030.0,385.0,45575,54824.0,130079.46087313024,204507.82743987,55.62,2942.1999,9375.8488,1073.438772039444,2020
MA-503,Cape Cod Islands CoC,336.0,286.0,50.0,56.0,110528,98661,11867,213164,3655,3179.0,476.0,16203,80420.0,326906.08491621056,461285.09018449974,48.14000000000001,3657.2983,12356.728,0.0,2020
MA-504,Springfield/Hampden County CoC,2257.0,2153.0,104.0,139.0,226764,201994,24770,463986,20119,18509.0,1610.0,64583,57821.0,167472.48955906526,230174.6890572411,48.14,3657.2983,12356.728,1208.0506311365211,2020
MA-506,Worcester City & County CoC,1401.0,1212.0,189.0,169.0,443482,402482,41000,829212,18313,17763.0,550.0,76029,63286.0,224139.61393931127,319011.47317038104,48.14,3657.2983,12356.727999999997,1457.442387369405,2020
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",591.0,490.0,101.0,79.0,190284,174321,15963,356239,7606,7070.0,536.0,32250,59279.99655568312,181244.73918705963,263658.5713607263,48.14,3657.2983,12356.728,0.0,2020
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",1079.0,1049.0,30.0,198.0,284260,256005,28255,523738,9625,9240.0,385.0,36890,74034.0,310191.8749512199,424222.6857611604,48.14,3657.2983,12356.728,1954.1230599470834,2020
MD-502,Harford County CoC,166.0,153.0,13.0,15.0,141932,134078,7854,256805,3164,2689.0,475.0,15611,63432.0,194272.5885726189,296500.84543298144,54.61,2404.803,11116.916,1357.8977124228024,2020
