coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value
CA-513,"Visalia/Kings, Tulare Counties CoC",853.0,354.0,499.0,522.0,331.0,719.0,385.0,57.0,9.0,261722,235091,26631,611614,5481.0,5051.0,430.0,37830.007357581744,122781.5470166752,197760.01799507503
CA-514,Fresno City & County/Madera County CoC,2016.0,487.0,1529.0,1347.0,655.0,1403.0,891.0,257.0,63.0,505361,462197,43164,1139805,18393.0,17334.0,1059.0,39749.214165580954,136711.19965087116,227123.44236893384
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",979.0,521.0,458.0,590.0,376.0,793.0,120.0,52.0,9.0,229519,220466,9053,484769,2013.0,1921.0,92.0,62371.08017426857,325882.4571500908,451255.1693099745
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",934.0,530.0,404.0,595.0,336.0,709.0,122.0,23.0,6.0,123664,115821,7843,311904,4663.0,4407.0,256.0,41699.71064494203,121290.46994986817,217446.74230407213
CA-517,Napa City & County CoC,315.0,199.0,116.0,192.0,122.0,259.0,105.0,17.0,4.0,73237,70549,2688,139818,1860.0,1488.0,372.0,69528.0,423030.7163086413,620173.6487976285
CA-518,Vallejo/Solano County CoC,1232.0,315.0,917.0,866.0,364.0,571.0,277.0,389.0,12.0,207947,197959,9988,443554,6718.0,5844.0,874.0,47333.0,300824.4281336759,404205.9573223146
CA-519,"Chico, Paradise/Butte County CoC",1195.0,450.0,745.0,790.0,397.0,886.0,134.0,33.0,9.0,101998,96056,5942,228700,3122.0,2934.0,188.0,41465.0,160523.0732515812,265563.6037424276
CA-520,Merced City & County CoC,454.0,156.0,298.0,297.0,153.0,243.0,109.0,63.0,9.0,115210,104330,10880,270837,3515.0,3339.0,176.0,36766.0,156860.5110432044,232996.702616018
CA-521,"Davis, Woodland/Yolo County CoC",459.0,250.0,209.0,260.0,182.0,304.0,71.0,96.0,7.0,106564,101083,5481,218470,2940.0,2557.0,383.0,50520.0,284833.8972077164,408757.8794037712
CA-522,Humboldt County CoC,759.0,325.0,434.0,512.0,236.0,616.0,59.0,16.0,5.0,62486,59842,2644,136710,1994.0,1555.0,439.0,43354.0,168892.84933374805,294585.55526891485
CA-523,"Colusa, Glenn, Trinity Counties CoC",176.0,43.0,133.0,112.0,62.0,135.0,48.0,4.0,0.0,28423,25611,2812,62161,349.0,334.0,15.0,40399.64551728576,126711.4257733537,219412.212092748
CA-524,Yuba City & County/Sutter County CoC,760.0,287.0,473.0,365.0,350.0,557.0,114.0,42.0,10.0,73683,67598,6085,172736,2057.0,1985.0,72.0,40183.31736870137,168697.75729184266,258299.83619114358
CA-525,El Dorado County CoC,602.0,106.0,496.0,370.0,232.0,540.0,18.0,27.0,0.0,89712,85766,3946,188793,803.0,754.0,49.0,63387.0,285214.7123399191,450777.60845645313
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties CoC",367.0,103.0,264.0,212.0,150.0,299.0,38.0,10.0,0.0,64731,61383,3348,155621,600.0,537.0,63.0,44438.66539862872,170177.88190755932,281588.77474458923
CA-527,Tehama County CoC,124.0,68.0,56.0,74.0,50.0,108.0,24.0,1.0,0.0,25511,23875,1636,63827,634.0,608.0,26.0,38580.0,86661.02968925117,190989.14976181425
CA-529,Lake County CoC,401.0,28.0,373.0,236.0,162.0,293.0,42.0,7.0,1.0,29302,27598,1704,64132,463.0,439.0,24.0,39840.0,105866.67357735078,205404.22849954982
CA-530,"Alpine, Inyo, Mono Counties CoC",121.0,5.0,116.0,77.0,44.0,114.0,5.0,2.0,2.0,17637,16846,791,33268,23.0,14.0,9.0,54644.0386557653,179852.9549586487,315701.3353107595
CA-600,Los Angeles City & County CoC,52442.0,13972.0,38470.0,35497.0,16346.0,21089.0,18355.0,26665.0,893.0,5109810,4864120,245690,10092365,145830.0,134163.0,11667.0,57551.0,339600.4721477277,521752.21090043965
CA-601,San Diego City and County CoC,9160.0,3539.0,5621.0,5977.0,3074.0,5700.0,2482.0,2064.0,192.0,1570791,1507180,63611,3319019,39871.0,37478.0,2393.0,56802.0,355838.23912180733,542641.0932795326
CA-602,"Santa Ana, Anaheim/Orange County CoC",4792.0,2208.0,2584.0,3190.0,1588.0,3487.0,1777.0,719.0,165.0,1605787,1549003,56784,3174159,26597.0,24203.0,2394.0,64601.0,449503.0627836096,660216.7353679427
CA-603,Santa Maria/Santa Barbara County CoC,1860.0,967.0,893.0,1170.0,689.0,1529.0,622.0,144.0,20.0,214948,205145,9803,444998,7206.0,6557.0,649.0,58138.0,325863.8173095703,525327.7056370849
CA-604,Bakersfield/Kern County CoC,810.0,541.0,269.0,564.0,244.0,533.0,177.0,130.0,10.0,384073,348493,35580,887316,5756.0,5353.0,403.0,37080.0,122981.64571955903,199849.12880174207
CA-606,Long Beach CoC,1863.0,655.0,1208.0,1300.0,549.0,1028.0,480.0,596.0,60.0,5109810,4864120,245690,10092365,145830.0,134163.0,11667.0,57551.0,339600.4721477277,521752.21090043965
CA-607,Pasadena CoC,575.0,228.0,347.0,376.0,193.0,285.0,150.0,223.0,7.0,5109810,4864120,245690,10092365,145830.0,134163.0,11667.0,57551.0,339600.4721477277,521752.21090043965
CA-608,Riverside City & County CoC,2406.0,768.0,1638.0,1579.0,812.0,1670.0,782.0,431.0,30.0,1070876,1014232,56644,2413058,12819.0,12434.0,385.0,38605.0,234239.19210383113,348768.612040178
CA-609,San Bernardino City & County CoC,1866.0,687.0,1179.0,1180.0,680.0,1174.0,565.0,439.0,24.0,942048,895265,46783,2149847,14912.0,14166.0,746.0,37477.0,181443.00415118362,307368.35249826236
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",1152.0,488.0,664.0,819.0,330.0,869.0,463.0,108.0,8.0,423676,404462,19214,848264,8914.0,8379.0,535.0,57981.0,406752.2379121082,568616.2415340532
CA-612,Glendale CoC,168.0,111.0,57.0,85.0,81.0,90.0,74.0,44.0,9.0,5109810,4864120,245690,10092365,145830.0,134163.0,11667.0,57551.0,339600.4721477277,521752.21090043965
CA-613,Imperial County CoC,1154.0,128.0,1026.0,811.0,336.0,1067.0,512.0,35.0,4.0,72049,57886,14163,181250,3154.0,2996.0,158.0,35780.0,107582.10986312182,201248.74047766108
CA-614,San Luis Obispo County CoC,1125.0,303.0,822.0,745.0,380.0,901.0,209.0,65.0,15.0,140250,135171,5079,282473,2738.0,2491.0,247.0,54210.0,362564.76854038675,558221.6421711645
CO-500,Colorado Balance of State CoC,4019.0,1511.0,2508.0,2386.0,1624.0,3472.0,1355.0,191.0,16.0,753045,732257,20788,1447669,16328.0,15051.0,1277.0,47661.528973819295,177038.1007071862,289710.0945239824
CO-503,Metropolitan Denver CoC,5506.0,4612.0,894.0,3596.0,1868.0,3327.0,1199.0,1364.0,28.0,530760,517741,13019,981427,4754.0,4265.0,489.0,61574.56204587809,309395.3379514545,420331.99376750784
CO-504,Colorado Springs/El Paso County CoC,1415.0,958.0,457.0,884.0,522.0,979.0,244.0,233.0,7.0,322818,313035,9783,700838,5057.0,4703.0,354.0,46633.0,193503.6870097282,277978.8647263415
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",778.0,696.0,82.0,444.0,333.0,341.0,246.0,387.0,16.0,485063,464362,20701,944107,18270.0,17173.0,1097.0,110450.0,216243.82585984698,394971.22872365714
CT-505,Connecticut Balance of State CoC,2610.0,2276.0,334.0,1610.0,980.0,1411.0,727.0,956.0,18.0,1438650,1374473,64177,2631217,63948.0,58893.0,5055.0,56568.721200493914,132833.8683426045,221714.07928643923
DE-500,Delaware Statewide CoC,994.0,936.0,58.0,562.0,431.0,398.0,82.0,544.0,4.0,475213,453949,21264,957942,12820.0,11741.0,1079.0,50703.04207144065,129849.2011841059,234273.34248172384
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1447.0,785.0,662.0,929.0,516.0,1103.0,194.0,257.0,4.0,356618,342240,14378,805531,4851.0,4525.0,326.0,55780.96772563688,150805.2514017886,254829.0864997396
FL-501,Tampa/Hillsborough County CoC,1549.0,982.0,567.0,917.0,627.0,749.0,266.0,727.0,4.0,718852,690198,28654,1428960,13085.0,14000.0,-915.0,45030.0,125944.05615843258,210727.2832919675
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2831.0,1679.0,1152.0,2011.0,814.0,1716.0,184.0,972.0,4.0,480350,461683,18667,968886,12797.0,12029.0,768.0,51405.0,100896.01980044668,192689.25819842354
FL-503,"Lakeland, Winterhaven/Polk County CoC",512.0,363.0,149.0,317.0,194.0,301.0,48.0,167.0,1.0,291121,276937,14184,685790,4323.0,3847.0,476.0,35236.0,89028.35339961597,161568.5546888015
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",753.0,305.0,448.0,467.0,284.0,555.0,57.0,141.0,0.0,293578,280150,13428,649071,5545.0,5218.0,327.0,41831.862791589825,119230.36087670806,187224.25258591145
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",401.0,130.0,271.0,195.0,205.0,313.0,58.0,70.0,5.0,123463,119045,4418,272385,2282.0,2030.0,252.0,50458.62393303596,126097.16863441863,234548.02611321298
FL-506,Tallahassee/Leon County CoC,1072.0,950.0,122.0,693.0,376.0,379.0,38.0,663.0,7.0,212091,203301,8790,443650,5663.0,5040.0,623.0,39206.84839851234,70882.18672777375,148399.98119726338
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2074.0,1734.0,340.0,1288.0,782.0,944.0,477.0,998.0,11.0,1140382,1095836,44546,2174078,10080.0,8922.0,1158.0,42295.78220836603,132496.01643619605,222058.8234027421
FL-508,"Gainesville/Alachua, Putnam Counties CoC",819.0,373.0,446.0,530.0,288.0,471.0,32.0,301.0,6.0,195752,187579,8173,425315,6073.0,5390.0,683.0,39040.1707017152,71511.24447995833,144659.7135763423
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1732.0,183.0,1549.0,908.0,824.0,1024.0,210.0,591.0,10.0,134956,128670,6286,313976,813.0,777.0,36.0,78264.96859632584,121853.60233419389,234520.52275178005
FL-510,"Jacksonville-Duval, Clay Counties CoC",1869.0,1437.0,432.0,1174.0,679.0,776.0,100.0,942.0,9.0,616636,590510,26126,1234572,17879.0,17498.0,381.0,45260.761631561385,90843.42808614632,170965.64444964827
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",758.0,501.0,257.0,539.0,218.0,419.0,19.0,313.0,4.0,219404,210295,9109,488295,5302.0,5102.0,200.0,42786.56141062268,79101.28417522559,155266.47231539452
FL-513,"Palm Bay, Melbourne/Brevard County CoC",845.0,592.0,253.0,574.0,271.0,569.0,59.0,219.0,9.0,266773,255041,11732,588165,5478.0,5039.0,439.0,43905.0,117623.19142734252,198801.91869222943
FL-514,Ocala/Marion County CoC,725.0,290.0,435.0,466.0,258.0,402.0,63.0,173.0,1.0,132717,125915,6802,353953,2405.0,2164.0,241.0,36442.0,78242.36791577621,139723.86627450315
FL-515,"Panama City/Bay, Jackson Counties CoC",336.0,143.0,193.0,195.0,140.0,263.0,11.0,52.0,2.0,132161,126440,5721,307742,3544.0,3273.0,271.0,37279.13999389099,75754.6145600424,149633.74322710448
FL-517,"Hendry, Hardee, Highlands Counties CoC",609.0,91.0,518.0,391.0,218.0,444.0,138.0,161.0,0.0,84022,79161,4861,226913,548.0,507.0,41.0,31043.09283293597,52911.78761237881,113129.31154219781
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",502.0,99.0,403.0,337.0,164.0,269.0,15.0,198.0,1.0,54495,52092,2403,137176,898.0,852.0,46.0,31890.78863649618,51067.783423152076,114827.22836293138
FL-519,Pasco County CoC,2593.0,178.0,2415.0,1633.0,881.0,2176.0,471.0,301.0,12.0,226509,216222,10287,525533,2193.0,2061.0,132.0,39687.0,89980.06222843082,179640.4939679857
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",635.0,282.0,353.0,379.0,256.0,526.0,58.0,92.0,3.0,296245,281462,14783,803664,1658.0,1548.0,110.0,40381.48449725258,115936.9544425464,185806.97926520003
FL-600,Miami-Dade County CoC,3721.0,2710.0,1011.0,2598.0,1108.0,1562.0,1298.0,2105.0,9.0,1348920,1284543,64377,2709126,49291.0,46333.0,2958.0,48755.0,148524.61855883824,258581.53719000722
FL-601,Ft Lauderdale/Broward County CoC,2450.0,1493.0,957.0,1670.0,772.0,1082.0,243.0,1320.0,10.0,1014014,973134,40880,1935945,16260.0,15447.0,813.0,48425.0,115254.40499653206,231990.28045641733
FL-602,Punta Gorda/Charlotte County CoC,222.0,89.0,133.0,150.0,72.0,183.0,19.0,31.0,0.0,69485,66140,3345,181998,816.0,799.0,17.0,40852.0,112184.20431555453,189997.32515488684
FL-603,"Ft Myers, Cape Coral/Lee County CoC",431.0,244.0,187.0,257.0,174.0,290.0,83.0,129.0,1.0,332639,318774,13865,741188,4669.0,4435.0,234.0,50496.0,110848.35740756616,219870.28778330664
FL-604,Monroe County CoC,631.0,339.0,292.0,493.0,135.0,568.0,87.0,49.0,1.0,45311,43809,1502,76556,1371.0,1316.0,55.0,87396.0,318645.20651214616,506878.1388746619
FL-605,West Palm Beach/Palm Beach County CoC,1607.0,526.0,1081.0,1054.0,550.0,750.0,220.0,802.0,3.0,716528,686091,30437,1470583,10636.0,9253.0,1383.0,77543.0,125595.93788205368,258849.47449527937
FL-606,Naples/Collier County CoC,621.0,434.0,187.0,296.0,322.0,474.0,269.0,61.0,5.0,171952,164712,7240,373286,944.0,896.0,48.0,90790.0,190577.2567792494,342630.7527433689
GA-501,Georgia Balance of State CoC,3716.0,1843.0,1873.0,2049.0,1658.0,1520.0,236.0,1983.0,14.0,3236517,3084048,152469,6803806,64766.0,59250.0,5516.0,39041.63289708731,88514.8886986689,155986.5917876635
GA-503,Athens-Clarke County CoC,239.0,146.0,93.0,126.0,113.0,87.0,12.0,145.0,1.0,61504,58562,2942,126674,2591.0,2409.0,182.0,32362.0,68906.14383070497,143260.03445458316
GA-504,Augusta-Richmond County CoC,246.0,199.0,47.0,73.0,173.0,77.0,2.0,158.0,0.0,86817,81598,5219,201965,7311.0,6872.0,439.0,36198.0,34206.36823798373,88062.1171978023
GA-505,Columbus-Muscogee/Russell County CoC,319.0,246.0,73.0,184.0,132.0,123.0,8.0,176.0,0.0,103446,97626,5820,250992,6484.0,6040.0,444.0,39814.57714190094,33343.201750694774,95956.67439062722
GA-506,Marietta/Cobb County CoC,403.0,285.0,118.0,233.0,170.0,147.0,18.0,222.0,7.0,425019,407484,17535,753361,3461.0,3322.0,139.0,55448.0,140185.77045184022,230911.0718042904
GA-507,Savannah/Chatham County CoC,926.0,563.0,363.0,531.0,395.0,384.0,32.0,522.0,1.0,140182,133838,6344,289771,6035.0,5672.0,363.0,45559.0,76756.49010264433,161286.99779812337
HI-500,Hawaii Balance of State CoC,2261.0,785.0,1476.0,1304.0,952.0,770.0,299.0,71.0,137.0,132935,129663,3272,272238,4868.0,4099.0,769.0,41593.484076433124,219346.2653136205,382019.0138344145
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",288.0,286.0,2.0,174.0,114.0,155.0,35.0,48.0,4.0,65665,63511,2154,122173,2717.0,2415.0,302.0,41030.54476029892,51021.783285283476,106478.34975054878
IA-501,Iowa Balance of State CoC,1792.0,1742.0,50.0,943.0,845.0,1061.0,132.0,562.0,12.0,1276473,1236758,39715,2366115,30107.0,26643.0,3464.0,46539.14915378162,60335.575837058226,123419.62926534921
IA-502,Des Moines/Polk County CoC,676.0,624.0,52.0,448.0,227.0,438.0,38.0,185.0,3.0,262617,254702,7915,480962,5833.0,5133.0,700.0,51650.0,91418.51200867999,169221.6906665542
ID-500,Boise/Ada County CoC,833.0,722.0,111.0,594.0,237.0,736.0,96.0,47.0,4.0,236081,229402,6679,456994,3182.0,2959.0,223.0,50588.0,208613.67084541512,282251.87115252553
ID-501,Idaho Balance of State CoC,1204.0,676.0,528.0,627.0,572.0,1059.0,172.0,28.0,13.0,594691,574711,19980,1247029,9061.0,8099.0,962.0,38828.663148972475,131513.39334807787,204714.60537770946
IL-500,McHenry County CoC,155.0,150.0,5.0,79.0,75.0,128.0,20.0,19.0,3.0,170561,163010,7551,307842,1658.0,1525.0,133.0,53897.0,117723.79566677495,190614.21600578295
IL-501,"Rockford/Winnebago, Boone Counties CoC",381.0,346.0,35.0,197.0,183.0,159.0,28.0,191.0,0.0,165432,154701,10731,338139,6653.0,5631.0,1022.0,42083.8195150515,52731.97981311657,105834.45916926661
IL-502,"Waukegan, North Chicago/Lake County CoC",228.0,201.0,27.0,110.0,118.0,120.0,47.0,101.0,0.0,372970,356138,16832,702825,8693.0,8084.0,609.0,75511.0,125726.15970582806,231638.92529197235
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",160.0,143.0,17.0,78.0,82.0,64.0,18.0,78.0,5.0,107070,102504,4566,210630,2615.0,2353.0,262.0,43460.0,70141.49422131073,135225.4132262063
IL-504,Madison County CoC,176.0,155.0,21.0,93.0,83.0,80.0,1.0,85.0,0.0,134303,127896,6407,265516,3408.0,3067.0,341.0,44477.0,44540.08667058776,104053.71615666425
IL-506,"Joliet, Bolingbrook/Will County CoC",282.0,251.0,31.0,179.0,103.0,167.0,44.0,105.0,4.0,95557,91006,4551,176790,644.0,620.0,24.0,48323.30971208779,133433.08268805878,201989.9878190984
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",329.0,293.0,36.0,196.0,133.0,177.0,13.0,117.0,5.0,185477,175132,10345,389957,8537.0,7690.0,847.0,45974.68552173701,43254.676810858655,99922.84239697429
IL-512,Bloomington/Central Illinois CoC,433.0,392.0,41.0,207.0,226.0,245.0,43.0,188.0,0.0,250495,238251,12244,509617,8039.0,6522.0,1517.0,42493.763088750966,51575.82845657927,107811.71722120878
IL-513,Springfield/Sangamon County CoC,230.0,219.0,11.0,153.0,72.0,120.0,5.0,100.0,0.0,101845,97335,4510,197163,3995.0,3795.0,200.0,46172.0,49379.54665159187,114715.959839782
IL-515,South Central Illinois CoC,108.0,76.0,32.0,59.0,48.0,97.0,8.0,9.0,0.0,193722,184454,9268,396305,4398.0,3817.0,581.0,41117.15720215491,28193.51931598725,71753.31929794374
IL-516,Decatur/Macon County CoC,130.0,114.0,16.0,101.0,29.0,57.0,2.0,66.0,0.0,49665,46914,2751,105474,3010.0,2739.0,271.0,45237.0,21264.620004133536,65352.09190943835
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",243.0,234.0,9.0,131.0,112.0,140.0,22.0,93.0,0.0,267293,254027,13266,537764,9953.0,9041.0,912.0,42105.213223644576,38688.5309392892,85721.48273256872
IL-519,West Central Illinois CoC,80.0,80.0,0.0,36.0,44.0,60.0,2.0,19.0,0.0,105390,100771,4619,219458,4020.0,3549.0,471.0,40173.35841482197,35014.05444027774,80164.15670188678
IL-520,Southern Illinois CoC,435.0,298.0,137.0,229.0,200.0,314.0,73.0,62.0,1.0,229537,217639,11898,499518,9683.0,8549.0,1134.0,38381.41489595971,20593.01397057471,65104.55109429587
IN-502,Indiana Balance of State CoC,3655.0,3212.0,443.0,2050.0,1603.0,2466.0,164.0,977.0,15.0,2625559,2534241,91318,5248567,64877.0,58684.0,6193.0,44555.589463181095,75277.82199021363,137696.78368385113
IN-503,Indianapolis CoC,1783.0,1657.0,126.0,1176.0,601.0,817.0,69.0,900.0,15.0,483473,466168,17305,951247,16331.0,15024.0,1307.0,49947.0,51262.32282033782,117837.2729436347
KS-502,Wichita/Sedgwick County CoC,575.0,464.0,111.0,395.0,179.0,367.0,125.0,158.0,4.0,246480,236093,10387,513392,5036.0,4683.0,353.0,50517.0,58859.948585008155,123917.76873918141
KS-503,Topeka/Shawnee County CoC,356.0,322.0,34.0,212.0,144.0,214.0,34.0,83.0,0.0,91686,88343,3343,178096,3201.0,2944.0,257.0,44425.0,53313.74755954336,114059.74807686712
KS-505,"Overland Park, Shawnee/Johnson County CoC",130.0,113.0,17.0,54.0,76.0,73.0,32.0,40.0,3.0,335466,325342,10124,592055,3470.0,3296.0,174.0,71643.0,181018.45668157306,269632.32855852257
KS-507,Kansas Balance of State CoC,1037.0,895.0,142.0,573.0,463.0,782.0,124.0,124.0,3.0,736973,711026,25947,1462095,17650.0,14954.0,2696.0,41846.28862009651,53896.84485479595,101042.4347942656
KY-500,Kentucky Balance of State CoC,1940.0,1415.0,525.0,1068.0,867.0,1619.0,43.0,225.0,5.0,1481422,1406618,74804,3363653,56855.0,51349.0,5506.0,38255.814681835494,48456.259346047846,109638.60183960169
KY-501,Louisville-Jefferson County CoC,1034.0,883.0,151.0,704.0,328.0,443.0,27.0,523.0,9.0,396592,379470,17122,770383,21032.0,18718.0,2314.0,49781.0,72742.30684939054,150832.1692619918
KY-502,Lexington-Fayette County CoC,1051.0,1000.0,51.0,735.0,314.0,767.0,38.0,261.0,4.0,175398,169153,6245,321554,6208.0,6145.0,63.0,48037.0,101895.81138896909,170831.91555923727
MA-500,Boston CoC,6135.0,5949.0,186.0,3209.0,2915.0,2198.0,2339.0,2763.0,55.0,444759,429317,15442,801269,54296.0,51038.0,3258.0,76928.0,324240.25288303127,493174.1306151309
