coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value
AK-501,Alaska Balance of State CoC,796.0,620.0,176.0,452.0,339.0,334.0,41.0,24.0,18.0,51377,48864,2513,110297,1183.0,1162.0,21.0,59786.80442804428,134273.9087485935,250504.94643670108
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",981.0,655.0,326.0,622.0,358.0,319.0,23.0,633.0,1.0,440052,427521,12531,876715,19698.0,17759.0,1939.0,56896.13435266877,66275.45101743577,157604.18331182326
AL-501,Mobile City & County/Baldwin County CoC,505.0,303.0,202.0,289.0,216.0,181.0,14.0,298.0,1.0,290784,280351,10433,637081,13996.0,12079.0,1917.0,42904.062588587636,77034.4688805563,155200.67723221288
AL-502,Florence/Northwest Alabama CoC,390.0,189.0,201.0,172.0,217.0,233.0,12.0,153.0,0.0,119743,115534,4209,266233,5591.0,5291.0,300.0,36797.062757058666,49925.04248064067,107747.13043131784
AL-503,Huntsville/North Alabama CoC,464.0,377.0,87.0,260.0,204.0,240.0,30.0,174.0,4.0,292011,283988,8023,591313,7407.0,6527.0,880.0,50121.93993536418,83556.80158961729,164889.9868838992
AL-504,Montgomery City & County CoC,330.0,273.0,57.0,192.0,138.0,76.0,5.0,236.0,0.0,180713,174971,5742,383288,6398.0,6101.0,297.0,44040.48470862641,53154.78615396792,121371.98928145373
AL-506,Tuscaloosa City & County CoC,44.0,44.0,0.0,27.0,17.0,22.0,4.0,22.0,0.0,106601,103555,3046,210321,4897.0,4113.0,784.0,40329.0,59624.0826280323,153353.32371190694
AL-507,Alabama Balance of State CoC,323.0,154.0,169.0,168.0,154.0,178.0,6.0,138.0,1.0,709031,685007,24024,1630440,29905.0,27115.0,2790.0,38404.23542356664,50884.33900157897,111500.13854993416
AR-500,Little Rock/Central Arkansas CoC,1066.0,493.0,573.0,651.0,414.0,503.0,30.0,532.0,0.0,284855,275647,9208,596609,10524.0,9543.0,981.0,48934.46766810423,61807.803795199325,139040.27762215893
AR-501,Fayetteville/Northwest Arkansas CoC,518.0,281.0,237.0,315.0,201.0,383.0,11.0,54.0,3.0,308845,300785,8060,627504,4038.0,3556.0,482.0,63653.40280221321,115348.56235698864,179055.66907135147
AR-503,Arkansas Balance of State CoC,811.0,266.0,545.0,539.0,272.0,528.0,14.0,245.0,1.0,388508,374241,14267,882474,15780.0,14563.0,1217.0,36422.353544693666,50339.01105666385,110181.45699260145
AR-505,Southeast Arkansas CoC,75.0,75.0,0.0,32.0,43.0,26.0,3.0,46.0,0.0,114288,108865,5423,273587,6808.0,5626.0,1182.0,39363.30044190696,21373.72331781842,67904.47482927187
AZ-500,Arizona Balance of State CoC,2021.0,1038.0,983.0,1245.0,767.0,1384.0,395.0,79.0,8.0,425244,400169,25075,1043775,4099.0,3838.0,261.0,38660.75855811837,152465.87675996433,247838.15584717455
AZ-501,Tucson/Pima County CoC,1372.0,1011.0,361.0,869.0,499.0,1006.0,428.0,166.0,1.0,482230,460541,21689,1049261,9206.0,8285.0,921.0,44649.0,143311.83540452982,214352.3882194769
AZ-502,"Phoenix, Mesa/Maricopa County CoC",6614.0,3426.0,3188.0,4183.0,2417.0,3926.0,1501.0,1663.0,39.0,2228930,2136668,92262,4492261,24287.0,22586.0,1701.0,49663.0,205735.58812070373,290517.6387169541
CA-500,San Jose/Santa Clara City & County CoC,9706.0,1784.0,7922.0,6008.0,3483.0,4257.0,4149.0,1820.0,334.0,1050634,1024216,26418,1922411,24235.0,21811.0,2424.0,114649.0,737609.1535691275,1130517.5915609077
CA-502,"Oakland, Berkeley/Alameda County CoC",8022.0,1710.0,6312.0,4910.0,2829.0,2516.0,1387.0,3792.0,126.0,843043,817987,25056,1668412,34126.0,30030.0,4096.0,78839.0,540532.0226772755,817088.608323889
CA-503,Sacramento City & County CoC,5561.0,1661.0,3900.0,3425.0,2095.0,2605.0,985.0,1869.0,49.0,711747,685309,26438,1551660,19542.0,17783.0,1759.0,53278.0,272259.8954734557,375722.7705260155
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2951.0,994.0,1957.0,2028.0,916.0,1908.0,831.0,263.0,8.0,257679,250679,7000,492318,6444.0,5992.0,452.0,64869.0,426836.77493454196,632028.8754105562
CA-505,Richmond/Contra Costa County CoC,2295.0,668.0,1627.0,1438.0,851.0,1033.0,380.0,775.0,40.0,560966,543515,17451,1152883,15195.0,13219.0,1976.0,84614.0,429591.092010618,629420.1742843098
CA-506,"Salinas/Monterey, San Benito Counties CoC",2704.0,706.0,1998.0,1759.0,942.0,1728.0,1341.0,293.0,53.0,253908,238327,15581,496183,5927.0,4437.0,1490.0,56071.746347617714,388231.58940641896,555496.8314275449
CA-507,Marin County CoC,1034.0,326.0,708.0,693.0,338.0,684.0,194.0,173.0,17.0,138885,135647,3238,259085,3567.0,3388.0,179.0,138903.0,618766.4434166632,1048555.623935503
CA-508,Watsonville/Santa Cruz City & County CoC,2167.0,467.0,1700.0,1453.0,713.0,1455.0,715.0,164.0,20.0,141396,134445,6951,272870,6143.0,5651.0,492.0,68990.0,513486.4053671263,781188.3194889249
CA-509,Mendocino County CoC,785.0,247.0,538.0,500.0,283.0,629.0,83.0,13.0,2.0,38741,37188,1553,86932,1690.0,1335.0,355.0,49803.0,259979.69059793474,405298.37045225373
CA-510,"Turlock, Modesto/Stanislaus County CoC",1923.0,835.0,1088.0,1199.0,717.0,1484.0,599.0,220.0,29.0,242927,228115,14812,549761,6335.0,5891.0,444.0,43402.0,245542.64289984453,323757.708394059
CA-511,Stockton/San Joaquin County CoC,2631.0,1073.0,1558.0,1660.0,968.0,1717.0,811.0,666.0,62.0,327149,307694,19455,761571,7770.0,6837.0,933.0,45075.0,263543.0675236353,380142.3111171746
CA-512,Daly City/San Mateo County CoC,1512.0,611.0,901.0,1011.0,497.0,1007.0,576.0,201.0,38.0,457390,447922,9468,764810,6536.0,6209.0,327.0,132133.0,828172.7074633082,1264176.6920175226
CA-513,"Visalia/Kings, Tulare Counties CoC",1064.0,289.0,775.0,642.0,421.0,890.0,473.0,116.0,12.0,260382,236017,24365,618478,5547.0,5142.0,405.0,39151.50963170881,149690.00510665987,224400.53795867792
CA-514,Fresno City & County/Madera County CoC,2508.0,439.0,2069.0,1648.0,855.0,1682.0,1166.0,430.0,38.0,513528,476279,37249,1154564,18637.0,18230.0,407.0,42439.67468239093,169198.5756434527,262907.0544764375
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",617.0,321.0,296.0,386.0,228.0,476.0,98.0,50.0,9.0,237485,229941,7544,498566,2134.0,1960.0,174.0,66226.70509421019,369270.0365262282,500010.8845684223
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",1349.0,543.0,806.0,836.0,506.0,1090.0,93.0,43.0,15.0,121942,115394,6548,312782,4734.0,4223.0,511.0,44360.19123542915,149516.72514192946,246687.21918138873
CA-517,Napa City & County CoC,322.0,172.0,150.0,213.0,108.0,248.0,124.0,11.0,4.0,73378,71264,2114,137678,1883.0,1506.0,377.0,73886.0,468652.28847937426,678683.1082649978
CA-518,Vallejo/Solano County CoC,1151.0,219.0,932.0,846.0,304.0,444.0,187.0,428.0,22.0,208505,200578,7927,447434,6703.0,5697.0,1006.0,51889.0,356485.46303769643,453123.6791857249
CA-519,"Chico, Paradise/Butte County CoC",1266.0,428.0,838.0,775.0,485.0,1009.0,163.0,64.0,7.0,98123,93097,5026,218726,3081.0,2742.0,339.0,45175.0,199538.68330303856,314725.87361002807
CA-520,Merced City & County CoC,608.0,320.0,288.0,398.0,210.0,445.0,207.0,79.0,1.0,115962,106504,9458,277114,3563.0,3064.0,499.0,37952.0,201421.813169212,276992.59529907577
CA-521,"Davis, Woodland/Yolo County CoC",655.0,258.0,397.0,422.0,231.0,454.0,207.0,121.0,14.0,108162,103663,4499,220019,2994.0,2514.0,480.0,54398.0,327698.6240187415,453957.12785096746
CA-522,Humboldt County CoC,1702.0,300.0,1402.0,1425.0,267.0,1500.0,76.0,46.0,8.0,62240,59978,2262,135839,2007.0,1525.0,482.0,46072.0,204932.463482068,325753.6369002667
CA-523,"Colusa, Glenn, Trinity Counties CoC",192.0,42.0,150.0,114.0,78.0,169.0,38.0,3.0,4.0,28650,26175,2475,62256,408.0,382.0,26.0,43083.1632613724,158578.89947227968,254584.81117309773
CA-524,Yuba City & County/Sutter County CoC,721.0,202.0,519.0,404.0,314.0,545.0,101.0,45.0,10.0,75345,70140,5205,175459,1966.0,1918.0,48.0,43411.02454704518,210615.28851368703,299119.69452479517
CA-525,El Dorado County CoC,613.0,133.0,480.0,384.0,216.0,567.0,166.0,25.0,0.0,92335,89061,3274,193057,805.0,732.0,73.0,68125.0,326221.59680826304,499362.12602893775
CA-526,"Tuolumne, Amador, Calaveras, Mariposa Counties CoC",845.0,158.0,687.0,499.0,346.0,731.0,54.0,20.0,6.0,64804,62096,2708,157219,633.0,576.0,57.0,47124.559143614955,202277.08433503166,313584.7441818779
CA-527,Tehama County CoC,288.0,73.0,215.0,178.0,110.0,251.0,51.0,4.0,1.0,25602,24156,1446,65186,667.0,640.0,27.0,40775.0,114458.53586333741,226337.61310555678
CA-529,Lake County CoC,408.0,26.0,382.0,232.0,176.0,344.0,57.0,9.0,1.0,29063,27576,1487,64463,473.0,435.0,38.0,42144.0,136034.47743840457,242462.24299904428
CA-530,"Alpine, Inyo, Mono Counties CoC",214.0,17.0,197.0,142.0,72.0,195.0,24.0,0.0,0.0,17836,17177,659,33556,25.0,20.0,5.0,56192.687149839076,233179.80826985184,385516.1552076773
CA-600,Los Angeles City & County CoC,56257.0,13786.0,42471.0,37537.0,17476.0,26152.0,20523.0,23983.0,770.0,5151546,4920831,230715,10011602,148424.0,133581.0,14843.0,63043.0,416040.5563345102,608782.7503557237
CA-601,San Diego City and County CoC,8102.0,3626.0,4476.0,5364.0,2697.0,5377.0,2352.0,1925.0,149.0,1583579,1532211,51368,3330459,40321.0,37095.0,3226.0,60845.0,410012.37135389267,590189.7991021251
CA-602,"Santa Ana, Anaheim/Orange County CoC",6860.0,2899.0,3961.0,4310.0,2536.0,4983.0,2480.0,768.0,218.0,1616766,1571261,45505,3170851,27438.0,24419.0,3019.0,69951.0,501074.3389084912,716386.1922685228
CA-603,Santa Maria/Santa Barbara County CoC,1803.0,670.0,1133.0,1090.0,706.0,1499.0,695.0,128.0,15.0,222769,214665,8104,445464,7613.0,7156.0,457.0,62715.0,358493.090700902,560520.7896140888
CA-604,Bakersfield/Kern County CoC,1330.0,525.0,805.0,927.0,402.0,978.0,392.0,205.0,10.0,388812,358380,30432,898898,5810.0,5519.0,291.0,39559.0,148201.25543487456,224972.96477832834
CA-606,Long Beach CoC,1894.0,619.0,1275.0,1311.0,578.0,1049.0,598.0,664.0,54.0,5151546,4920831,230715,10011602,148424.0,133581.0,14843.0,63043.0,416040.5563345102,608782.7503557237
CA-607,Pasadena CoC,542.0,221.0,321.0,366.0,169.0,296.0,173.0,186.0,9.0,5151546,4920831,230715,10011602,148424.0,133581.0,14843.0,63043.0,416040.5563345102,608782.7503557237
CA-608,Riverside City & County CoC,2811.0,766.0,2045.0,1844.0,944.0,1888.0,990.0,494.0,36.0,1108093,1061450,46643,2465569,13590.0,11959.0,1631.0,41385.0,279912.0870506909,394299.0850332042
CA-609,San Bernardino City & County CoC,2607.0,687.0,1920.0,1695.0,892.0,1402.0,798.0,658.0,20.0,967128,929765,37363,2177279,15044.0,14442.0,602.0,40537.0,233323.09577983024,358680.5346360979
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",1669.0,411.0,1258.0,1101.0,559.0,1329.0,621.0,121.0,21.0,422283,406924,15359,844203,8989.0,8090.0,899.0,63190.0,445886.2491730197,609875.3274967914
CA-612,Glendale CoC,243.0,96.0,147.0,134.0,108.0,140.0,102.0,47.0,7.0,5151546,4920831,230715,10011602,148424.0,133581.0,14843.0,63043.0,416040.5563345102,608782.7503557237
CA-613,Imperial County CoC,1413.0,188.0,1225.0,923.0,466.0,1244.0,484.0,84.0,0.0,73647,58403,15244,180439,3146.0,3020.0,126.0,37196.0,137141.5269654237,223638.03220010933
CA-614,San Luis Obispo County CoC,1483.0,311.0,1172.0,1015.0,468.0,1070.0,420.0,96.0,12.0,139905,135854,4051,282728,2658.0,2498.0,160.0,58693.0,401759.2387269453,605495.1515081722
CO-500,Colorado Balance of State CoC,2302.0,1504.0,798.0,1516.0,763.0,1809.0,585.0,99.0,5.0,782287,760601,21686,1477424,16551.0,14880.0,1671.0,52031.350331387606,211563.92383868873,333725.22711105
CO-503,Metropolitan Denver CoC,5755.0,4809.0,946.0,3761.0,1931.0,3316.0,1398.0,1307.0,49.0,558475,544518,13957,1007893,5112.0,4639.0,473.0,68162.88070955945,348220.10573093605,461879.68972661486
CO-504,Colorado Springs/El Paso County CoC,1562.0,1118.0,444.0,1012.0,544.0,1126.0,226.0,272.0,11.0,338652,327886,10766,721929,5012.0,4560.0,452.0,50845.0,243061.70289086812,326776.5601387587
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",771.0,673.0,98.0,452.0,316.0,305.0,267.0,385.0,10.0,486096,468976,17120,944388,18405.0,17116.0,1289.0,118515.0,232390.4372077906,400774.57244712673
CT-505,Connecticut Balance of State CoC,2262.0,1904.0,358.0,1443.0,817.0,1256.0,631.0,765.0,5.0,1452544,1399792,52752,2621634,64110.0,58475.0,5635.0,60404.872436808495,145374.11283224047,231961.15659822006
DE-500,Delaware Statewide CoC,921.0,826.0,95.0,546.0,373.0,372.0,83.0,478.0,2.0,484658,467162,17496,976668,13193.0,12027.0,1166.0,53792.372946589836,146606.718835582,249765.49360108902
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1135.0,735.0,400.0,809.0,321.0,839.0,138.0,244.0,3.0,367477,355699,11778,837983,4977.0,4351.0,626.0,59917.11710142091,172364.76321295605,276390.36721937306
FL-501,Tampa/Hillsborough County CoC,1650.0,978.0,672.0,1020.0,628.0,819.0,327.0,752.0,3.0,752421,728513,23908,1476431,15055.0,14753.0,302.0,48586.0,154926.37599128,237665.5972085134
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2415.0,1581.0,834.0,1650.0,760.0,1527.0,162.0,764.0,8.0,483146,468232,14914,975367,12927.0,11892.0,1035.0,56002.0,127268.85900834575,225854.16826838918
FL-503,"Lakeland, Winterhaven/Polk County CoC",563.0,449.0,114.0,348.0,215.0,347.0,65.0,179.0,2.0,304617,292955,11662,724967,4441.0,3908.0,533.0,37183.0,118279.62686388828,192015.24753961794
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",875.0,368.0,507.0,514.0,360.0,594.0,80.0,241.0,1.0,299927,289119,10808,669546,5490.0,5005.0,485.0,45173.30613430593,148496.67603222214,218538.59025381654
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",399.0,165.0,234.0,248.0,151.0,322.0,22.0,64.0,2.0,128025,124428,3597,285538,2299.0,2005.0,294.0,55155.8907150712,155549.28733375508,269816.9139287745
FL-506,Tallahassee/Leon County CoC,966.0,875.0,91.0,630.0,330.0,335.0,57.0,593.0,4.0,216143,208990,7153,448042,5724.0,5221.0,503.0,42372.8435213663,85297.21707443245,167803.82051155667
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2010.0,1674.0,336.0,1242.0,758.0,838.0,375.0,1096.0,9.0,1191915,1155477,36438,2241332,10078.0,9796.0,282.0,45958.20145119063,166537.59841552153,256786.47919873396
FL-508,"Gainesville/Alachua, Putnam Counties CoC",804.0,306.0,498.0,526.0,274.0,417.0,53.0,336.0,5.0,199295,192735,6560,432338,6345.0,5302.0,1043.0,42139.71319430631,88850.55232509093,167152.42862375648
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1499.0,154.0,1345.0,816.0,683.0,971.0,77.0,429.0,0.0,138136,133206,4930,320951,821.0,799.0,22.0,85341.59661443646,147032.98142503135,262323.0065000809
FL-510,"Jacksonville-Duval, Clay Counties CoC",1654.0,1146.0,508.0,1116.0,532.0,665.0,42.0,900.0,7.0,633000,612051,20949,1267450,18035.0,17119.0,916.0,48550.24927216064,119703.16800246265,202130.5834503113
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",518.0,341.0,177.0,378.0,139.0,285.0,19.0,210.0,1.0,227277,219987,7290,503966,5331.0,4921.0,410.0,45258.60889623506,99816.65207291309,181359.42335331618
FL-513,"Palm Bay, Melbourne/Brevard County CoC",815.0,418.0,397.0,557.0,257.0,579.0,66.0,194.0,3.0,282118,272891,9227,601024,5308.0,4777.0,531.0,48539.0,144351.5368475567,226681.7041643744
FL-514,Ocala/Marion County CoC,475.0,296.0,179.0,321.0,154.0,330.0,26.0,132.0,1.0,138387,132975,5412,365997,2394.0,2178.0,216.0,38754.0,102006.21995639386,163185.3424789333
FL-515,"Panama City/Bay, Jackson Counties CoC",488.0,133.0,355.0,311.0,174.0,317.0,45.0,153.0,4.0,127466,122625,4841,293098,3708.0,2795.0,913.0,41692.20367590362,86651.46730188183,168089.5495624526
FL-517,"Hendry, Hardee, Highlands Counties CoC",398.0,48.0,350.0,229.0,169.0,260.0,92.0,138.0,0.0,82126,78243,3883,230820,703.0,655.0,48.0,32337.635616497704,69145.75255724617,136411.99416974364
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",538.0,113.0,425.0,306.0,232.0,304.0,19.0,231.0,0.0,54927,53042,1885,139040,923.0,847.0,76.0,33460.159752589185,64077.97598083956,132927.1746177349
FL-519,Pasco County CoC,894.0,206.0,688.0,581.0,307.0,748.0,72.0,97.0,3.0,238759,230189,8570,554032,2296.0,2043.0,253.0,42495.0,118432.17396462707,207443.12816199465
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",677.0,346.0,331.0,411.0,265.0,534.0,50.0,103.0,9.0,311759,299514,12245,845156,1698.0,1507.0,191.0,43597.02362404101,143306.47952252734,215715.16496413588
FL-600,Miami-Dade County CoC,3472.0,2464.0,1008.0,2299.0,1156.0,1361.0,1136.0,2037.0,11.0,1380967,1340911,40056,2711612,50278.0,46758.0,3520.0,54316.0,180734.90626353907,301041.93438417214
FL-601,Ft Lauderdale/Broward County CoC,2803.0,1453.0,1350.0,1934.0,858.0,1129.0,306.0,1617.0,10.0,1034991,1002809,32182,1955475,16400.0,15088.0,1312.0,52864.0,139519.0317465738,266434.7838625364
FL-602,Punta Gorda/Charlotte County CoC,156.0,89.0,67.0,102.0,54.0,138.0,14.0,10.0,0.0,71496,68795,2701,189669,813.0,804.0,9.0,43549.0,133985.57375241982,212675.8197015679
FL-603,"Ft Myers, Cape Coral/Lee County CoC",372.0,210.0,162.0,211.0,161.0,244.0,46.0,120.0,1.0,346866,335640,11226,772268,4784.0,4401.0,383.0,52832.0,123287.69999929145,231987.8552625247
FL-604,Monroe County CoC,501.0,292.0,209.0,406.0,94.0,457.0,70.0,30.0,1.0,46287,45320,967,73897,1373.0,1345.0,28.0,104370.0,347478.32227874355,547298.8022021516
FL-605,West Palm Beach/Palm Beach County CoC,1397.0,457.0,940.0,930.0,461.0,624.0,171.0,711.0,17.0,730620,706156,24464,1497800,10912.0,9711.0,1201.0,85213.0,149151.03792096864,288325.555179074
FL-606,Naples/Collier County CoC,498.0,399.0,99.0,266.0,231.0,348.0,145.0,98.0,3.0,179452,173715,5737,385917,938.0,862.0,76.0,103205.0,201829.28842581567,354247.5169367753
